Location,Northern Hemisphere,Southern Hemisphere,Eastern Hemisphere,Western Hemisphere
Turkey,1,0,1,0
Russia,1,0,1,0
Canada,1,0,0,1
Germany,1,0,1,0
Iceland,1,0,0,1
Philippines,0,1,0,1
Japan,1,0,1,0
United States DC,1,0,1,0
Italy,1,0,1,0
Madagascar,0,1,1,0
Israel,1,0,1,0
Brazil,0,1,1,0
Australia,0,1,1,0
France,1,0,1,0
Uruguay,0,1,0,1
New Zealand,0,1,1,0
China,1,0,1,0
India,1,0,1,0
Vietnam,0,1,1,0
Mexico,0,1,0,1
Myanmar,0,1,1,0
United States NY,1,0,1,0
South Africa,0,1,1,0
South Korea,1,0,1,0
Thailand,0,1,1,0
United Arab Emirates,0,1,1,0
Colombia,0,1,1,0
Costa Rica,0,1,0,1
Jamaica,0,1,0,1
Indonesia,0,1,1,0
Panama,0,1,0,1
Haiti,0,1,0,1
